,metric,year,value
292,methane,1986.542,1662.34
293,methane,1986.625,1664.36
294,methane,1986.708,1672.57
295,methane,1986.792,1678.69
296,methane,1986.875,1678.96
297,methane,1986.958,1679.11
298,methane,1987.042,1679.42
299,methane,1987.125,1679.01
300,methane,1987.208,1680.01
301,methane,1987.292,1681.36
302,methane,1987.375,1681.84
303,methane,1987.458,1679.98
304,methane,1987.542,1675.98
305,methane,1987.625,1677.14
306,methane,1987.708,1685.59
307,methane,1987.792,1691.59
308,methane,1987.875,1691.15
309,methane,1987.958,1690.48
310,methane,1988.042,1692.0
311,methane,1988.125,1692.52
312,methane,1988.208,1691.28
313,methane,1988.292,1690.08
314,methane,1988.375,1689.09
315,methane,1988.458,1687.18
316,methane,1988.542,1686.03
317,methane,1988.625,1689.42
318,methane,1988.708,1696.12
319,methane,1988.792,1701.16
320,methane,1988.875,1702.83
321,methane,1988.958,1701.91
322,methane,1989.042,1700.57
323,methane,1989.125,1701.09
324,methane,1989.208,1702.48
325,methane,1989.292,1703.6
326,methane,1989.375,1703.35
327,methane,1989.458,1700.2
328,methane,1989.542,1698.22
329,methane,1989.625,1701.96
330,methane,1989.708,1707.17
331,methane,1989.792,1710.54
332,methane,1989.875,1713.09
333,methane,1989.958,1713.22
334,methane,1990.042,1712.16
335,methane,1990.125,1713.48
336,methane,1990.208,1714.34
337,methane,1990.292,1712.55
338,methane,1990.375,1710.63
339,methane,1990.458,1708.45
340,methane,1990.542,1706.58
341,methane,1990.625,1710.22
342,methane,1990.708,1717.59
343,methane,1990.792,1722.03
344,methane,1990.875,1723.44
345,methane,1990.958,1723.31
346,methane,1991.042,1721.68
347,methane,1991.125,1721.29
348,methane,1991.208,1722.08
349,methane,1991.292,1722.46
350,methane,1991.375,1722.11
351,methane,1991.458,1718.87
352,methane,1991.542,1715.98
353,methane,1991.625,1719.14
354,methane,1991.708,1726.06
355,methane,1991.792,1732.71
356,methane,1991.875,1737.43
357,methane,1991.958,1739.56
358,methane,1992.042,1738.95
359,methane,1992.125,1737.36
360,methane,1992.208,1736.9
361,methane,1992.292,1736.67
362,methane,1992.375,1734.96
363,methane,1992.458,1731.56
364,methane,1992.542,1728.83
365,methane,1992.625,1730.32
366,methane,1992.708,1734.61
367,methane,1992.792,1737.69
368,methane,1992.875,1739.21
